Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,28883.0852250936,30703.6877980791,35371.0066224597,37915.532793544,33814.6423248738,33594.9711318351,36244.4395516841,34147.4819490657,35509.1897424308,36422.6383086149
European Union,EUU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.73790885830782,1.69288662795808,1.65472627714722,1.67604691481536,1.76350089516055,1.68553348582214,1.61413853127036,1.60893203824296,1.55641280223143,1.50771328127522
European Union,EUU,"Population, total",SP.POP.TOTL,496306466,498182074,500030506,501912523,503390442,504469008,505544895,505126520,506558032,508314519
France,FRA,GDP at market prices (current US$),NY.GDP.MKTP.CD,2203678646934.46,2325011918203.49,2663112510265.54,2923465651091.26,2693827452070.02,2646994701986.75,2862502085070.89,2681416108537.39,2810249215589.07,2829192039171.84
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,34879.7263291899,36544.5085344191,41600.5839748157,45413.065712185,41631.1314123702,40705.7662299421,43807.4759032413,40850.3523734948,42627.6524386524,42732.5665028093
France,FRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.40098917706653,2.3448860849516,2.2754629510657,2.25783500764085,2.48301072141193,2.33417280424482,2.25665813943099,2.23893577596555,2.22105156231913,2.20155323761553
France,FRA,"Population, total",SP.POP.TOTL,63179356,63621376,64016229,64374990,64707044,65027512,65342776,65639975,65925498,66206930
Germany,DEU,GDP at market prices (current US$),NY.GDP.MKTP.CD,2861410272354.18,3002446368084.31,3439953462907.2,3752365607148.09,3418005001389.27,3417298013245.03,3757464553794.83,3539615377794.51,3745317149399.13,3868291231823.77
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,34696.62091671,36447.8723183195,41814.8190965222,45699.1983232962,41732.707253158,41788.0447853084,45936.0812598523,44010.9313869814,46441.6771304417,47821.9174641231
Germany,DEU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.32993750162983,1.26877676799331,1.23705351281021,1.28131660511996,1.38890695368007,1.35365069029402,1.28111219627689,1.31287978336467,1.27271502612715,1.20086430127073
Germany,DEU,"Population, total",SP.POP.TOTL,82469422,82376451,82266372,82110097,81902307,81776930,81797673,80425823,80645605,80889505
